Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,136.059998,136.619995,135.990005,136.559998,188200,136.559998
2017-02-02,135.160004,135.690002,134.990005,135.479996,188800,135.479996
2017-02-01,135.860001,136.089996,135.020004,135.419998,384900,135.419998
2017-01-31,135.009995,135.410004,134.610001,135.380005,254900,135.380005
2017-01-30,135.759995,135.759995,134.50,135.289993,377300,135.289993
2017-01-27,136.50,136.690002,136.070007,136.210007,281800,136.210007
2017-01-26,136.630005,136.770004,136.330002,136.460007,235900,136.460007
2017-01-25,136.199997,136.669998,136.039993,136.619995,233200,136.619995
2017-01-24,134.649994,135.759995,134.649994,135.490005,195400,135.490005
2017-01-23,134.660004,134.850006,133.929993,134.509995,656700,134.509995
2017-01-20,134.869995,135.199997,134.479996,134.860001,258800,134.860001
2017-01-19,135.070007,135.119995,134.050003,134.330002,337000,134.330002
2017-01-18,134.789993,134.929993,134.369995,134.850006,265600,134.850006
2017-01-17,134.710007,135.00,134.320007,134.600006,331400,134.600006
2017-01-13,134.960007,135.399994,134.960007,135.179993,132900,135.179993
2017-01-12,134.949997,134.949997,133.820007,134.830002,209000,134.830002
2017-01-11,134.830002,135.199997,134.369995,135.190002,201600,135.190002
2017-01-10,134.710007,135.350006,134.509995,134.820007,121500,134.820007
2017-01-09,134.960007,135.339996,134.619995,134.699997,217600,134.699997
2017-01-06,134.960007,135.529999,134.509995,135.240005,789600,135.240005
2017-01-05,134.889999,135.029999,134.259995,134.75,164700,134.75
2017-01-04,134.309998,135.149994,134.309998,135.00,124500,135.00
2017-01-03,133.880005,134.410004,133.220001,133.929993,417000,133.929993
2016-12-30,133.850006,133.860001,132.600006,132.979996,684700,132.979996
2016-12-29,133.639999,133.880005,133.240005,133.490005,267600,133.490005
2016-12-28,134.830002,134.949997,133.449997,133.470001,191500,133.470001
2016-12-27,134.490005,134.990005,134.490005,134.589996,449100,134.589996
2016-12-23,134.089996,134.320007,134.029999,134.300003,151200,134.300003
2016-12-22,134.369995,134.369995,133.809998,134.009995,484400,134.009995
2016-12-21,135.479996,135.660004,135.110001,135.130005,279100,134.454001
2016-12-20,135.320007,135.610001,135.179993,135.50,309800,134.822145
2016-12-19,134.75,135.149994,134.649994,134.919998,299300,134.245045
2016-12-16,135.089996,135.229996,134.389999,134.679993,226400,134.00624
2016-12-15,134.389999,135.449997,134.289993,134.800003,622000,134.12565
2016-12-14,135.210007,135.679993,134.039993,134.220001,525400,133.54855
2016-12-13,135.020004,135.759995,135.009995,135.429993,2666800,134.752488
2016-12-12,134.869995,135.229996,134.380005,134.679993,314900,134.00624
2016-12-09,134.50,134.990005,134.50,134.949997,392200,134.274894
2016-12-08,133.889999,134.660004,133.669998,134.360001,382700,133.687849
2016-12-07,132.070007,133.880005,131.949997,133.809998,533400,133.140597
2016-12-06,131.740005,132.179993,131.399994,132.169998,427300,131.508802
2016-12-05,131.110001,131.75,131.110001,131.460007,510100,130.802363
2016-12-02,130.490005,130.970001,130.410004,130.649994,306200,129.996402
2016-12-01,131.309998,131.410004,130.309998,130.529999,569300,129.877007
2016-11-30,131.970001,132.00,131.080002,131.149994,331700,130.493901
2016-11-29,131.199997,131.740005,130.970001,131.419998,218200,130.762554
2016-11-28,131.800003,131.820007,131.119995,131.199997,160600,130.543654
2016-11-25,131.720001,131.949997,131.649994,131.949997,56900,131.289902
2016-11-23,130.880005,131.509995,130.779999,131.50,294900,130.842156
2016-11-22,131.190002,131.389999,130.740005,131.25,260200,130.593406
2016-11-21,130.380005,130.919998,130.330002,130.910004,147700,130.255111
2016-11-18,130.350006,130.350006,129.850006,129.949997,135900,129.299907
2016-11-17,129.529999,130.25,129.529999,130.149994,116500,129.498903
2016-11-16,129.429993,129.660004,129.190002,129.520004,299800,128.872065
2016-11-15,129.020004,129.710007,128.759995,129.669998,225100,129.021309
2016-11-14,128.789993,129.100006,128.210007,128.720001,228600,128.076064
2016-11-11,127.860001,128.490005,127.550003,128.350006,109000,127.70792
2016-11-10,128.539993,129.130005,127.360001,128.220001,327200,127.578566
2016-11-09,125.199997,128.259995,125.040001,127.93,432500,127.290015
2016-11-08,125.470001,126.690002,125.269997,126.290001,338500,125.65822
2016-11-07,124.75,125.760002,124.550003,125.720001,188600,125.091072
2016-11-04,123.110001,123.860001,123.00,123.07,375200,122.454328
2016-11-03,123.800003,123.959999,122.910004,123.110001,213500,122.494128
2016-11-02,124.269997,124.459999,123.510002,123.589996,180300,122.971723
2016-11-01,125.620003,125.620003,123.709999,124.519997,519400,123.897071
2016-10-31,125.57,125.760002,125.32,125.410004,371800,124.782625
2016-10-28,125.75,126.230003,125.029999,125.360001,292700,124.732872
2016-10-27,126.739998,126.800003,125.660004,125.760002,160900,125.130873
2016-10-26,126.050003,126.639999,125.839996,126.199997,253200,125.568667
2016-10-25,127.029999,127.089996,126.489998,126.550003,136300,125.916922
2016-10-24,127.129997,127.410004,126.870003,127.110001,197700,126.474118
2016-10-21,125.970001,126.589996,125.82,126.550003,207600,125.916922
2016-10-20,126.589996,126.919998,126.040001,126.510002,329900,125.877121
2016-10-19,126.589996,127.00,126.300003,126.779999,356400,126.145767
2016-10-18,126.629997,126.669998,126.190002,126.370003,147600,125.737822
2016-10-17,126.059998,126.129997,125.50,125.639999,249800,125.01147
2016-10-14,126.650002,126.989998,125.970001,125.970001,350900,125.339821
2016-10-13,125.650002,126.32,124.93,126.010002,314200,125.379622
2016-10-12,126.309998,126.809998,126.059998,126.440002,469300,125.807471
2016-10-11,127.760002,127.760002,125.809998,126.300003,483300,125.668172
2016-10-10,127.809998,128.330002,127.809998,128.00,335000,127.359665
2016-10-07,128.009995,128.039993,126.790001,127.290001,174800,126.653218
2016-10-06,127.610001,127.900002,127.120003,127.75,116800,127.110916
2016-10-05,127.57,128.039993,127.57,127.800003,169000,127.160668
2016-10-04,127.949997,128.070007,126.790001,127.169998,164500,126.533815
2016-10-03,127.900002,127.980003,127.389999,127.75,219200,127.110916
2016-09-30,127.800003,128.630005,127.550003,128.190002,89800,127.548717
2016-09-29,128.309998,128.509995,126.889999,127.220001,169300,126.583568
2016-09-28,127.919998,128.490005,127.209999,128.410004,218900,127.767617
2016-09-27,126.919998,127.760002,126.68,127.730003,102000,127.091019
2016-09-26,127.550003,127.629997,126.900002,126.970001,132300,126.334819
2016-09-23,129.020004,129.059998,128.50,128.529999,67500,127.403451
2016-09-22,129.009995,129.369995,128.910004,129.25,110400,128.117141
2016-09-21,127.279999,128.380005,126.839996,128.240005,140300,127.115999
2016-09-20,127.459999,127.510002,126.830002,126.830002,64700,125.718354
2016-09-19,127.18,127.769997,126.660004,126.889999,108900,125.777826
2016-09-16,126.849998,127.150002,126.32,126.739998,74900,125.629139
2016-09-15,125.919998,127.43,125.660004,127.239998,165700,126.124757
2016-09-14,126.059998,126.769997,125.599998,125.93,106300,124.826241
2016-09-13,127.110001,127.169998,125.589996,125.940002,132400,124.836156
2016-09-12,125.580002,128.139999,125.489998,127.940002,193400,126.818626
2016-09-09,128.559998,128.559998,126.110001,126.120003,133800,125.014578
2016-09-08,129.470001,129.619995,129.220001,129.460007,59100,128.325307
2016-09-07,129.509995,129.720001,129.220001,129.660004,79500,128.523551
2016-09-06,129.479996,129.559998,128.889999,129.559998,59700,128.424422
2016-09-02,129.039993,129.389999,128.830002,129.259995,184800,128.127048
2016-09-01,128.460007,128.690002,127.660004,128.449997,174100,127.32415
2016-08-31,128.75,128.75,127.959999,128.440002,119300,127.314243
2016-08-30,129.050003,129.199997,128.479996,128.809998,155000,127.680996
2016-08-29,128.110001,129.220001,128.110001,129.039993,52800,127.908975
2016-08-26,128.770004,129.470001,127.760002,128.320007,79800,127.1953
2016-08-25,128.399994,128.949997,128.190002,128.669998,117500,127.542223
2016-08-24,129.330002,129.369995,128.410004,128.679993,80500,127.55213
2016-08-23,129.460007,129.75,129.360001,129.360001,180900,128.226178
2016-08-22,128.820007,129.149994,128.649994,129.009995,69200,127.87924
2016-08-19,128.789993,129.139999,128.580002,129.009995,174200,127.87924
2016-08-18,128.809998,129.210007,128.779999,129.210007,62900,128.077499
2016-08-17,128.649994,128.880005,128.039993,128.820007,79900,127.690918
2016-08-16,129.190002,129.190002,128.660004,128.660004,95500,127.532316
2016-08-15,129.179993,129.639999,129.179993,129.479996,136100,128.345121
2016-08-12,128.830002,129.070007,128.699997,128.929993,93100,127.799939
2016-08-11,128.830002,129.190002,128.690002,129.00,198300,127.869333
2016-08-10,128.970001,128.970001,128.25,128.470001,128700,127.343979
2016-08-09,128.809998,129.130005,128.649994,128.779999,143000,127.65126
2016-08-08,128.899994,129.039993,128.570007,128.75,108500,127.621524
2016-08-05,128.210007,128.839996,128.070007,128.779999,106500,127.65126
2016-08-04,127.730003,127.959999,127.440002,127.699997,103100,126.580724
2016-08-03,127.029999,127.639999,126.839996,127.639999,290800,126.521252
2016-08-02,127.940002,127.980003,126.580002,127.099998,125900,125.985984
2016-08-01,128.240005,128.50,127.790001,128.050003,110300,126.927662
2016-07-29,127.75,128.449997,127.610001,128.210007,133700,127.086264
2016-07-28,127.620003,128.160004,127.370003,127.970001,161300,126.848362
2016-07-27,128.190002,128.229996,127.269997,127.760002,189500,126.640203
2016-07-26,127.68,128.119995,127.330002,127.900002,446000,126.778976
2016-07-25,128.020004,128.020004,127.389999,127.760002,89600,126.640203
2016-07-22,127.519997,128.130005,127.389999,128.110001,275300,126.987134
2016-07-21,127.839996,128.070007,127.190002,127.489998,315200,126.372565
2016-07-20,127.669998,128.149994,127.440002,127.949997,130900,126.828533
2016-07-19,127.25,127.489998,127.099998,127.379997,386900,126.263529
2016-07-18,127.300003,127.690002,127.129997,127.580002,121700,126.461781
2016-07-15,127.709999,127.709999,126.970001,127.260002,119900,126.144586
2016-07-14,127.470001,127.68,127.160004,127.379997,146200,126.263529
2016-07-13,127.32,127.32,126.43,126.809998,222000,125.698525
2016-07-12,126.510002,127.07,126.400002,126.839996,655700,125.728261
2016-07-11,125.690002,126.199997,125.57,125.849998,192600,124.74694
2016-07-08,124.110001,125.419998,124.110001,125.300003,126200,124.201766
2016-07-07,123.459999,123.980003,122.82,123.360001,104600,122.278767
2016-07-06,122.290001,123.410004,121.889999,123.360001,441200,122.278767
2016-07-05,123.75,123.75,122.82,123.300003,250700,121.578955
2016-07-01,123.769997,124.639999,123.769997,124.230003,248900,122.495974
2016-06-30,122.529999,124.019997,122.190002,124.019997,320400,122.288899
2016-06-29,121.160004,122.389999,121.139999,122.220001,301700,120.514028
2016-06-28,119.290001,120.120003,118.980003,120.099998,161300,118.423617
2016-06-27,119.330002,119.339996,117.470001,117.989998,356800,116.343068
2016-06-24,120.389999,122.550003,120.18,120.300003,494800,118.62083
2016-06-23,124.290001,124.93,124.029999,124.919998,138100,123.176338
2016-06-22,123.669998,124.099998,123.150002,123.199997,158800,121.480345
2016-06-21,123.50,123.739998,123.099998,123.489998,150700,121.766298
2016-06-20,123.580002,124.199997,123.160004,123.209999,224600,121.490207
2016-06-17,122.779999,122.779999,121.970001,122.389999,140100,120.681653
2016-06-16,121.919998,122.830002,121.169998,122.800003,146900,121.085934
2016-06-15,122.769997,123.32,122.349998,122.480003,261200,120.770401
2016-06-14,122.550003,122.989998,121.93,122.559998,127700,120.849279
2016-06-13,123.370003,123.959999,122.790001,122.860001,142400,121.145094
2016-06-10,124.230003,124.309998,123.480003,123.879997,77800,122.150854
2016-06-09,124.900002,125.239998,124.699997,125.110001,60600,123.363688
2016-06-08,125.059998,125.489998,124.900002,125.379997,75600,123.629916
2016-06-07,124.949997,125.349998,124.809998,124.959999,115200,123.21578
2016-06-06,124.190002,124.970001,124.190002,124.75,72900,123.008713
2016-06-03,124.169998,124.25,123.230003,123.980003,175600,122.249464
2016-06-02,123.690002,124.459999,123.400002,124.459999,103600,122.72276
2016-06-01,123.269997,124.059998,123.099998,124.00,222300,122.269181
2016-05-31,123.910004,124.07,123.239998,123.720001,109800,121.993091
2016-05-27,123.190002,123.739998,123.190002,123.720001,101800,121.993091
2016-05-26,123.379997,123.470001,122.989998,123.190002,180500,121.47049
2016-05-25,122.669998,123.400002,122.669998,123.199997,124000,121.480345
2016-05-24,121.309998,122.550003,121.300003,122.330002,65300,120.622493
2016-05-23,120.82,121.07,120.57,120.650002,68800,118.965943
2016-05-20,120.370003,121.160004,120.370003,120.910004,116600,119.222316
2016-05-19,119.830002,120.239998,119.099998,119.949997,152400,118.275709
2016-05-18,120.209999,121.260002,119.779999,120.43,236900,118.749012
2016-05-17,121.269997,121.519997,120.040001,120.419998,386600,118.73915
