Date,USDEUR
1/3/2000,0.9763
1/4/2000,0.9713
1/5/2000,0.9689
1/6/2000,0.9682
1/7/2000,0.9713
1/10/2000,0.975
1/11/2000,0.9675
1/12/2000,0.97
1/13/2000,0.9748
1/14/2000,0.9879
1/17/2000,0.9879
1/18/2000,0.9865
1/19/2000,0.9869
1/20/2000,0.9835
1/21/2000,0.9903
1/24/2000,0.9929
1/25/2000,0.9991
1/26/2000,0.9981
1/27/2000,1.0119
1/28/2000,1.026
1/31/2000,1.0302
2/1/2000,1.0298
2/2/2000,1.0241
2/3/2000,1.0107
2/4/2000,1.0171
2/7/2000,1.0188
2/8/2000,1.0147
2/9/2000,1.0058
2/10/2000,1.0148
2/11/2000,1.0127
2/14/2000,1.0222
2/15/2000,1.0188
2/16/2000,1.0139
2/17/2000,1.0124
2/18/2000,1.0164
2/21/2000,1.0125
2/22/2000,0.9962
2/23/2000,0.9964
2/24/2000,1.0081
2/25/2000,1.0257
2/28/2000,1.03
2/29/2000,1.0371
3/1/2000,1.0281
3/2/2000,1.0356
3/3/2000,1.0432
3/6/2000,1.0432
3/7/2000,1.0434
3/8/2000,1.0406
3/9/2000,1.0342
3/10/2000,1.0377
3/13/2000,1.0371
3/14/2000,1.0324
3/15/2000,1.0342
3/16/2000,1.0314
3/17/2000,1.0287
3/20/2000,1.028
3/21/2000,1.04
3/22/2000,1.0406
3/23/2000,1.0293
3/24/2000,1.0226
3/27/2000,1.0339
3/28/2000,1.0411
3/29/2000,1.0511
3/30/2000,1.0403
3/31/2000,1.0466
4/3/2000,1.0468
4/4/2000,1.0421
4/5/2000,1.039
4/6/2000,1.0434
4/7/2000,1.0468
4/10/2000,1.0387
4/11/2000,1.0425
4/12/2000,1.0428
4/13/2000,1.05
4/14/2000,1.0393
4/17/2000,1.0496
4/18/2000,1.0579
4/19/2000,1.0636
4/20/2000,1.0668
4/21/2000,1.0655
4/24/2000,1.0661
4/25/2000,1.086
4/26/2000,1.0828
4/27/2000,1.099
4/28/2000,1.0966
5/1/2000,1.0919
5/2/2000,1.0989
5/3/2000,1.1176
5/4/2000,1.1242
5/5/2000,1.1148
5/8/2000,1.114
5/9/2000,1.1019
5/10/2000,1.1028
5/11/2000,1.1091
5/12/2000,1.0873
5/15/2000,1.0975
5/16/2000,1.1107
5/17/2000,1.1162
5/18/2000,1.1178
5/19/2000,1.1142
5/22/2000,1.1073
5/23/2000,1.1024
5/24/2000,1.1057
5/25/2000,1.0971
5/26/2000,1.0742
5/29/2000,1.0792
5/30/2000,1.0752
5/31/2000,1.0661
6/1/2000,1.0739
6/2/2000,1.0567
6/5/2000,1.055
6/6/2000,1.0473
6/7/2000,1.0393
6/8/2000,1.046
6/9/2000,1.0487
6/12/2000,1.0484
6/13/2000,1.0421
6/14/2000,1.044
6/15/2000,1.0474
6/16/2000,1.0363
6/19/2000,1.0453
6/20/2000,1.0473
6/21/2000,1.0591
6/22/2000,1.0689
6/23/2000,1.0685
6/26/2000,1.0673
6/27/2000,1.0572
6/28/2000,1.0637
6/29/2000,1.0504
6/30/2000,1.0499
7/3/2000,1.0524
7/4/2000,1.0512
7/5/2000,1.0499
7/6/2000,1.0519
7/7/2000,1.0544
7/10/2000,1.0468
7/11/2000,1.0496
7/12/2000,1.0611
7/13/2000,1.067
7/14/2000,1.0655
7/17/2000,1.0677
7/18/2000,1.0813
7/19/2000,1.0815
7/20/2000,1.0717
7/21/2000,1.0673
7/24/2000,1.071
7/25/2000,1.0655
7/26/2000,1.0607
7/27/2000,1.0733
7/28/2000,1.0834
7/31/2000,1.0792
8/1/2000,1.0933
8/2/2000,1.0946
8/3/2000,1.1036
8/4/2000,1.101
8/7/2000,1.1024
8/8/2000,1.1084
8/9/2000,1.1104
8/10/2000,1.101
8/11/2000,1.1079
8/14/2000,1.1042
8/15/2000,1.0947
8/16/2000,1.0916
8/17/2000,1.0915
8/18/2000,1.1033
8/21/2000,1.109
8/22/2000,1.1156
8/23/2000,1.109
8/24/2000,1.1085
8/25/2000,1.1085
8/28/2000,1.1109
8/29/2000,1.121
8/30/2000,1.1186
8/31/2000,1.1264
9/1/2000,1.1115
9/4/2000,1.1138
9/5/2000,1.1232
9/6/2000,1.1492
9/7/2000,1.1477
9/8/2000,1.1531
9/11/2000,1.1659
9/12/2000,1.1574
9/13/2000,1.1636
9/14/2000,1.1569
9/15/2000,1.1705
9/18/2000,1.1714
9/19/2000,1.1752
9/20/2000,1.1774
9/21/2000,1.1629
9/22/2000,1.1408
9/25/2000,1.1435
9/26/2000,1.1328
9/27/2000,1.132
9/28/2000,1.1375
9/29/2000,1.1329
10/2/2000,1.1399
10/3/2000,1.1419
10/4/2000,1.1434
10/5/2000,1.1506
10/6/2000,1.1515
10/9/2000,1.1511
10/10/2000,1.1473
10/11/2000,1.1517
10/12/2000,1.1587
10/13/2000,1.1682
10/16/2000,1.1767
10/17/2000,1.1705
10/18/2000,1.192
10/19/2000,1.1854
10/20/2000,1.1875
10/23/2000,1.197
10/24/2000,1.1963
10/25/2000,1.2089
10/26/2000,1.2044
10/27/2000,1.1915
10/30/2000,1.1889
10/31/2000,1.178
11/1/2000,1.1612
11/2/2000,1.165
11/3/2000,1.1539
11/6/2000,1.1594
11/7/2000,1.1628
11/8/2000,1.1689
11/9/2000,1.1539
11/10/2000,1.1633
11/13/2000,1.1667
11/14/2000,1.166
11/15/2000,1.1662
11/16/2000,1.1721
