Date,VIX_Index
2/24/2012,17.31
2/27/2012,18.19
2/28/2012,17.96
2/29/2012,18.43
3/1/2012,17.26
3/2/2012,17.29
3/5/2012,18.05
3/6/2012,20.87
3/7/2012,19.07
3/8/2012,17.95
3/9/2012,17.11
3/12/2012,15.64
3/13/2012,14.8
3/14/2012,15.31
3/15/2012,15.42
3/16/2012,14.47
3/19/2012,15.04
3/20/2012,15.58
3/21/2012,15.13
3/22/2012,15.57
3/23/2012,14.82
3/26/2012,14.26
3/27/2012,15.59
3/28/2012,15.47
3/29/2012,15.48
3/30/2012,15.5
4/2/2012,15.64
4/3/2012,15.66
4/4/2012,16.44
4/5/2012,16.7
4/9/2012,18.81
4/10/2012,20.39
4/11/2012,20.02
4/12/2012,17.2
4/13/2012,19.55
4/16/2012,19.55
4/17/2012,18.46
4/18/2012,18.64
4/19/2012,18.36
4/20/2012,17.44
4/23/2012,18.97
4/24/2012,18.1
4/25/2012,16.82
4/26/2012,16.24
4/27/2012,16.32
4/30/2012,17.15
5/1/2012,16.6
5/2/2012,16.88
5/3/2012,17.56
5/4/2012,19.16
5/7/2012,18.94
5/8/2012,19.05
5/9/2012,20.08
5/10/2012,18.83
5/11/2012,19.89
5/14/2012,21.87
5/15/2012,21.97
5/16/2012,22.27
5/17/2012,24.49
5/18/2012,25.1
5/21/2012,22.01
5/22/2012,22.48
5/23/2012,22.33
5/24/2012,21.54
5/25/2012,21.76
5/29/2012,21.03
5/30/2012,24.14
5/31/2012,24.06
6/1/2012,26.66
6/4/2012,26.12
6/5/2012,24.68
6/6/2012,22.16
6/7/2012,21.72
6/8/2012,21.23
6/11/2012,23.56
6/12/2012,22.09
6/13/2012,24.27
6/14/2012,21.68
6/15/2012,21.11
6/18/2012,18.32
6/19/2012,18.38
6/20/2012,17.24
6/21/2012,20.08
6/22/2012,18.11
6/25/2012,20.38
6/26/2012,19.72
6/27/2012,19.45
6/28/2012,19.71
6/29/2012,17.08
7/2/2012,16.8
7/3/2012,16.66
7/5/2012,17.5
7/6/2012,17.1
7/9/2012,17.98
7/10/2012,18.72
7/11/2012,17.95
7/12/2012,18.33
7/13/2012,16.74
7/16/2012,17.11
7/17/2012,16.48
7/18/2012,16.16
7/19/2012,15.45
7/20/2012,16.27
7/23/2012,18.62
7/24/2012,20.47
7/25/2012,19.34
7/26/2012,17.53
7/27/2012,16.7
7/30/2012,18.03
7/31/2012,18.93
8/1/2012,18.96
8/2/2012,17.57
8/3/2012,15.64
8/6/2012,15.95
8/7/2012,15.99
8/8/2012,15.32
8/9/2012,15.28
8/10/2012,14.74
8/13/2012,13.7
8/14/2012,14.85
8/15/2012,14.63
8/16/2012,14.29
8/17/2012,13.45
8/20/2012,14.02
8/21/2012,15.02
8/22/2012,15.11
8/23/2012,15.96
8/24/2012,15.18
8/27/2012,16.35
8/28/2012,16.49
8/29/2012,17.06
8/30/2012,17.83
8/31/2012,17.47
9/4/2012,17.98
9/5/2012,17.74
9/6/2012,15.6
9/7/2012,14.38
9/10/2012,16.28
9/11/2012,16.41
9/12/2012,15.8
9/13/2012,14.05
9/14/2012,14.51
9/17/2012,14.59
9/18/2012,14.18
9/19/2012,13.88
9/20/2012,14.07
9/21/2012,13.98
9/24/2012,14.15
9/25/2012,15.43
9/26/2012,16.81
9/27/2012,14.84
9/28/2012,15.73
10/1/2012,16.32
10/2/2012,15.71
10/3/2012,15.43
10/4/2012,14.55
10/5/2012,14.33
10/8/2012,15.11
10/9/2012,16.37
10/10/2012,16.29
10/11/2012,15.59
10/12/2012,16.14
10/15/2012,15.27
10/16/2012,15.22
10/17/2012,15.07
10/18/2012,15.03
10/19/2012,17.06
10/22/2012,16.62
10/23/2012,18.83
10/24/2012,18.33
10/25/2012,18.12
10/26/2012,17.81
10/31/2012,18.6
11/1/2012,16.69
11/2/2012,17.59
11/5/2012,18.42
11/6/2012,17.58
11/7/2012,19.08
11/8/2012,18.49
11/9/2012,18.61
11/12/2012,16.68
11/13/2012,16.65
11/14/2012,17.92
11/15/2012,17.99
11/16/2012,16.41
11/19/2012,15.24
11/20/2012,15.08
11/21/2012,15.31
11/23/2012,15.14
11/26/2012,15.5
11/27/2012,15.92
11/28/2012,15.51
11/29/2012,15.06
11/30/2012,15.87
12/3/2012,16.64
12/4/2012,17.12
12/5/2012,16.46
12/6/2012,16.58
12/7/2012,15.9
12/10/2012,16.05
12/11/2012,15.57
12/12/2012,15.95
12/13/2012,16.56
12/14/2012,17
12/17/2012,16.34
12/18/2012,15.57
