Date,CL2 Comdty
3/2/2012,107.17
3/5/2012,107.18
3/6/2012,105.21
3/7/2012,106.65
3/8/2012,107.06
3/9/2012,107.87
3/12/2012,106.84
3/13/2012,107.24
3/14/2012,105.95
3/15/2012,105.65
3/16/2012,107.58
3/19/2012,108.56
3/20/2012,106.07
3/21/2012,107.75
3/22/2012,105.84
3/23/2012,107.35
3/26/2012,107.55
3/27/2012,107.85
3/28/2012,105.96
3/29/2012,103.31
3/30/2012,103.54
4/2/2012,105.76
4/3/2012,104.55
4/4/2012,102.03
4/5/2012,103.83
4/9/2012,102.98
4/10/2012,101.56
4/11/2012,103.18
4/12/2012,104.1
4/13/2012,103.32
4/16/2012,103.37
4/17/2012,104.64
4/18/2012,103.12
4/19/2012,102.72
4/20/2012,103.88
4/23/2012,103.55
4/24/2012,103.96
4/25/2012,104.5
4/26/2012,104.94
4/27/2012,105.32
4/30/2012,105.26
5/1/2012,106.5
5/2/2012,105.58
5/3/2012,102.92
5/4/2012,98.88
5/7/2012,98.31
5/8/2012,97.37
5/9/2012,97.15
5/10/2012,97.41
5/11/2012,96.49
5/14/2012,95.13
5/15/2012,94.35
5/16/2012,93.19
5/17/2012,92.94
5/18/2012,91.8
5/21/2012,92.86
5/22/2012,91.85
5/23/2012,90.2
5/24/2012,90.94
5/25/2012,91.15
5/29/2012,91.09
5/30/2012,88.14
5/31/2012,86.85
6/1/2012,83.56
6/4/2012,84.27
6/5/2012,84.57
6/6/2012,85.33
6/7/2012,85.13
6/8/2012,84.39
6/11/2012,83
6/12/2012,83.62
6/13/2012,82.92
6/14/2012,84.22
6/15/2012,84.33
6/18/2012,83.6
6/19/2012,84.35
6/20/2012,81.45
6/21/2012,78.56
6/22/2012,80.14
6/25/2012,79.62
6/26/2012,79.77
6/27/2012,80.61
6/28/2012,78.1
6/29/2012,85.37
7/2/2012,84.15
7/3/2012,88.03
7/5/2012,87.57
7/6/2012,84.83
7/9/2012,86.37
7/10/2012,84.3
7/11/2012,86.19
7/12/2012,86.46
7/13/2012,87.5
7/16/2012,88.81
7/17/2012,89.54
7/18/2012,90.17
7/19/2012,92.97
7/20/2012,91.83
7/23/2012,88.43
7/24/2012,88.78
7/25/2012,89.25
7/26/2012,89.67
7/27/2012,90.42
7/30/2012,90.06
7/31/2012,88.34
8/1/2012,89.17
8/2/2012,87.41
8/3/2012,91.64
8/6/2012,92.46
8/7/2012,93.94
8/8/2012,93.63
8/9/2012,93.63
8/10/2012,93.15
8/13/2012,93.03
8/14/2012,93.74
8/15/2012,94.62
8/16/2012,95.89
8/17/2012,96.32
8/20/2012,96.26
8/21/2012,96.84
8/22/2012,97.55
8/23/2012,96.6
8/24/2012,96.45
8/27/2012,95.79
8/28/2012,96.63
8/29/2012,95.81
8/30/2012,94.96
8/31/2012,96.76
9/4/2012,95.64
9/5/2012,95.69
9/6/2012,95.85
9/7/2012,96.75
9/10/2012,96.88
9/11/2012,97.5
9/12/2012,97.34
9/13/2012,98.63
9/14/2012,99.33
9/17/2012,96.95
9/18/2012,95.62
9/19/2012,92.3
9/20/2012,92.42
9/21/2012,93.21
9/24/2012,92.25
9/25/2012,91.71
9/26/2012,90.34
9/27/2012,92.21
9/28/2012,92.56
10/1/2012,92.85
10/2/2012,92.27
10/3/2012,88.52
10/4/2012,92.07
10/5/2012,90.27
10/8/2012,89.73
10/9/2012,92.78
10/10/2012,91.64
10/11/2012,92.5
10/12/2012,92.28
10/15/2012,92.32
10/16/2012,92.54
10/17/2012,92.59
10/18/2012,92.53
10/19/2012,90.44
10/22/2012,88.65
10/23/2012,87.23
10/24/2012,86.29
10/25/2012,86.6
10/26/2012,86.8
10/29/2012,86.05
10/30/2012,86.19
10/31/2012,86.73
11/1/2012,87.57
11/2/2012,85.4
11/5/2012,86.14
11/6/2012,89.17
11/7/2012,84.91
11/8/2012,85.56
11/9/2012,86.55
11/12/2012,86.07
11/13/2012,85.84
11/14/2012,86.75
11/15/2012,85.87
11/16/2012,86.92
11/19/2012,89.8
11/20/2012,87.35
11/21/2012,87.98
11/23/2012,88.9
11/26/2012,88.37
11/27/2012,87.81
11/28/2012,87.13
11/29/2012,88.66
11/30/2012,89.49
12/3/2012,89.69
12/4/2012,89.08
12/5/2012,88.47
12/6/2012,86.85
12/7/2012,86.5
12/10/2012,86.1
12/11/2012,86.32
12/12/2012,87.31
12/13/2012,86.44
12/14/2012,87.25
12/17/2012,87.67
12/18/2012,88.4
12/19/2012,89.98
12/20/2012,90.69
12/21/2012,89.23
12/24/2012,89.17
12/26/2012,91.49
12/27/2012,91.37
12/28/2012,91.3
12/31/2012,92.27
1/2/2013,93.55
1/3/2013,93.34
1/4/2013,93.51
1/7/2013,93.63
1/8/2013,93.6
1/9/2013,93.56
1/10/2013,94.27
1/11/2013,93.99
1/14/2013,94.59
1/15/2013,93.72
1/16/2013,94.68
1/17/2013,95.94
1/18/2013,96.04
1/22/2013,96.68
1/23/2013,95.75
1/24/2013,96.45
1/25/2013,96.33
1/28/2013,96.87
1/29/2013,97.99
1/30/2013,98.38
1/31/2013,97.96
2/1/2013,98.24
2/4/2013,96.66
2/5/2013,97.11
2/6/2013,97.09
2/7/2013,96.35
2/8/2013,96.27
2/11/2013,97.58
2/12/2013,98.07
2/13/2013,97.6
2/14/2013,97.9
2/15/2013,96.41
2/19/2013,97.1
2/20/2013,95.22
2/21/2013,93.27
2/22/2013,93.57
2/25/2013,93.53
2/26/2013,93.05
2/27/2013,93.15
2/28/2013,92.46
3/1/2013,91.14
3/4/2013,90.58
3/5/2013,91.28
3/6/2013,90.9
3/7/2013,92.03
3/8/2013,92.43
3/11/2013,92.52
3/12/2013,92.92
3/13/2013,92.88
3/14/2013,93.38
3/15/2013,93.82
3/18/2013,94.11
3/19/2013,92.52
3/20/2013,93.5
3/21/2013,92.77
3/22/2013,93.96
3/25/2013,95.09
3/26/2013,96.61
3/27/2013,96.84
3/28/2013,97.49
4/1/2013,97.38
4/2/2013,97.5
4/3/2013,94.77
4/4/2013,93.56
4/5/2013,93.01
4/8/2013,93.68
4/9/2013,94.51
4/10/2013,94.97
4/11/2013,93.85
4/12/2013,91.61
4/15/2013,89.03
4/16/2013,89.03
4/17/2013,86.97
4/18/2013,88
4/19/2013,88.27
4/22/2013,89.19
4/23/2013,89.46
4/24/2013,91.69
4/25/2013,93.91
4/26/2013,93.25
4/29/2013,94.72
4/30/2013,93.68
5/1/2013,91.24
5/2/2013,94.2
5/3/2013,95.82
5/6/2013,96.39
5/7/2013,95.86
5/8/2013,96.85
5/9/2013,96.66
5/10/2013,96.29
5/13/2013,95.41
5/14/2013,94.48
5/15/2013,94.56
5/16/2013,95.45
5/17/2013,96.29
5/20/2013,96.93
5/21/2013,96.18
5/22/2013,94.46
5/23/2013,94.42
5/24/2013,94.34
5/28/2013,95.2
5/29/2013,93.35
5/30/2013,93.8
5/31/2013,92.21
6/3/2013,93.67
6/4/2013,93.55
6/5/2013,93.96
6/6/2013,94.98
6/7/2013,96.27
6/10/2013,96
6/11/2013,95.6
6/12/2013,96.1
6/13/2013,96.92
6/14/2013,98.07
6/17/2013,98.03
6/18/2013,98.67
6/19/2013,98.48
6/20/2013,95.14
6/21/2013,93.63
6/24/2013,95.04
6/25/2013,95.21
6/26/2013,95.41
6/27/2013,96.89
6/28/2013,96.44
7/1/2013,97.88
7/2/2013,99.42
7/3/2013,101.11
7/5/2013,103.05
7/8/2013,103.02
7/9/2013,103.31
7/10/2013,105.62
7/11/2013,104.38
7/12/2013,105.55
7/15/2013,105.92
7/16/2013,105.69
7/17/2013,106.35
7/18/2013,107.81
7/19/2013,107.87
7/22/2013,106.94
7/23/2013,105.79
7/24/2013,104.1
7/25/2013,104.47
7/26/2013,104.01
7/29/2013,103.9
7/30/2013,102.5
7/31/2013,104.22
8/1/2013,106.93
8/2/2013,106.24
8/5/2013,105.9
8/6/2013,104.76
8/7/2013,103.91
8/8/2013,102.87
8/9/2013,105.16
8/12/2013,105.52
8/13/2013,106.4
8/14/2013,106.56
8/15/2013,107.19
8/16/2013,107.29
8/19/2013,106.86
8/20/2013,105.11
8/21/2013,103.37
8/22/2013,104.33
8/23/2013,105.72
8/26/2013,105.35
8/27/2013,108.3
8/28/2013,109.37
8/29/2013,108.15
8/30/2013,107.08
9/3/2013,107.85
9/4/2013,106.59
9/5/2013,107.67
9/6/2013,109.52
9/9/2013,108.47
9/10/2013,106.49
9/11/2013,106.64
9/12/2013,107.75
9/13/2013,107.54
9/16/2013,106.19
9/17/2013,104.82
9/18/2013,107.28
9/19/2013,105.86
9/20/2013,104.75
9/23/2013,102.72
9/24/2013,102.48
9/25/2013,102.05
9/26/2013,102.52
