Date,AAPL US Equity
3/16/2012,75.8662
3/17/2012,75.8662
3/18/2012,75.8662
3/19/2012,77.8782
3/20/2012,78.5079
3/21/2012,78.0596
3/22/2012,77.6502
3/23/2012,77.224
3/24/2012,77.224
3/25/2012,77.224
3/26/2012,78.64
3/27/2012,79.6117
3/28/2012,80.0186
3/29/2012,79.0132
3/30/2012,77.6774
3/31/2012,77.6774
4/1/2012,77.6774
4/2/2012,80.1494
4/3/2012,81.5344
4/4/2012,80.8853
4/5/2012,82.0993
4/6/2012,82.0993
4/7/2012,82.0993
4/8/2012,82.0993
4/9/2012,82.4297
4/10/2012,81.4204
4/11/2012,81.1302
4/12/2012,80.6858
4/13/2012,78.4133
4/14/2012,78.4133
4/15/2012,78.4133
4/16/2012,75.1614
4/17/2012,78.9924
4/18/2012,78.8162
4/19/2012,76.1084
4/20/2012,74.235
4/21/2012,74.235
4/22/2012,74.235
4/23/2012,74.0692
4/24/2012,72.5896
4/25/2012,79.0313
4/26/2012,78.7333
4/27/2012,78.1244
4/28/2012,78.1244
4/29/2012,78.1244
4/30/2012,75.6602
5/1/2012,75.4205
5/2/2012,75.9193
5/3/2012,75.3803
5/4/2012,73.2335
5/5/2012,73.2335
5/6/2012,73.2335
5/7/2012,73.7816
5/8/2012,73.6131
5/9/2012,73.7427
5/10/2012,73.9163
5/11/2012,73.4227
5/12/2012,73.4227
5/13/2012,73.4227
5/14/2012,72.3227
5/15/2012,71.6684
5/16/2012,70.7492
5/17/2012,68.6821
5/18/2012,68.7158
5/19/2012,68.7158
5/20/2012,68.7158
5/21/2012,72.7192
5/22/2012,72.1608
5/23/2012,73.9215
5/24/2012,73.2426
5/25/2012,72.85
5/26/2012,72.85
5/27/2012,72.85
5/28/2012,72.85
5/29/2012,74.143
5/30/2012,75.037
5/31/2012,74.8504
6/1/2012,72.6816
6/2/2012,72.6816
6/3/2012,72.6816
6/4/2012,73.1091
6/5/2012,72.92
6/6/2012,74.0381
6/7/2012,74.0718
6/8/2012,75.186
6/9/2012,75.186
6/10/2012,75.186
6/11/2012,74.0005
6/12/2012,74.647
6/13/2012,74.1288
6/14/2012,74.0472
6/15/2012,74.384
6/16/2012,74.384
6/17/2012,74.384
6/18/2012,75.8934
6/19/2012,76.1046
6/20/2012,75.8883
6/21/2012,74.8426
6/22/2012,75.4166
6/23/2012,75.4166
6/24/2012,75.4166
6/25/2012,73.948
6/26/2012,74.1113
6/27/2012,74.4319
6/28/2012,73.7258
6/29/2012,75.6628
6/30/2012,75.6628
7/1/2012,75.6628
7/2/2012,76.7666
7/3/2012,77.6593
7/4/2012,77.6593
7/5/2012,79.0235
7/6/2012,78.4975
7/7/2012,78.4975
7/8/2012,78.4975
7/9/2012,79.5353
7/10/2012,78.7994
7/11/2012,78.3097
7/12/2012,77.5932
7/13/2012,78.3796
7/14/2012,78.3796
7/15/2012,78.3796
7/16/2012,78.631
7/17/2012,78.6349
7/18/2012,78.5468
7/19/2012,79.591
7/20/2012,78.2928
7/21/2012,78.2928
7/22/2012,78.2928
7/23/2012,78.2319
7/24/2012,77.8549
7/25/2012,74.4928
7/26/2012,74.4812
7/27/2012,75.813
7/28/2012,75.813
7/29/2012,75.813
7/30/2012,77.0918
7/31/2012,79.1298
8/1/2012,78.618
8/2/2012,78.745
8/3/2012,79.7698
8/4/2012,79.7698
8/5/2012,79.7698
8/6/2012,80.6573
8/7/2012,80.4453
8/8/2012,80.3088
8/9/2012,80.7668
8/10/2012,80.893
8/11/2012,80.893
8/12/2012,80.893
8/13/2012,81.9729
8/14/2012,82.1928
8/15/2012,82.0809
8/16/2012,82.7979
8/17/2012,84.3293
8/18/2012,84.3293
8/19/2012,84.3293
8/20/2012,86.5465
8/21/2012,85.364
8/22/2012,87.0305
8/23/2012,86.2186
8/24/2012,86.2956
8/25/2012,86.2956
8/26/2012,86.2956
8/27/2012,87.9166
8/28/2012,87.8021
8/29/2012,87.6286
8/30/2012,86.3797
8/31/2012,86.5582
9/1/2012,86.5582
9/2/2012,86.5582
9/3/2012,86.5582
9/4/2012,87.8242
9/5/2012,87.2075
9/6/2012,87.9934
9/7/2012,88.536
9/8/2012,88.536
9/9/2012,88.536
9/10/2012,86.2329
9/11/2012,85.9532
9/12/2012,87.1502
9/13/2012,88.8665
9/14/2012,89.9464
9/15/2012,89.9464
9/16/2012,89.9464
9/17/2012,91.0526
9/18/2012,91.3296
9/19/2012,91.3543
9/20/2012,90.9119
9/21/2012,91.0934
9/22/2012,91.0934
9/23/2012,91.0934
9/24/2012,89.8827
9/25/2012,87.6382
9/26/2012,86.5504
9/27/2012,88.6505
9/28/2012,86.8009
9/29/2012,86.8009
9/30/2012,86.8009
10/1/2012,85.797
10/2/2012,86.0469
10/3/2012,87.3662
10/4/2012,86.7612
10/5/2012,84.9123
10/6/2012,84.9123
10/7/2012,84.9123
10/8/2012,83.036
10/9/2012,82.7341
10/10/2012,83.3925
10/11/2012,81.7257
10/12/2012,81.9357
10/13/2012,81.9357
10/14/2012,81.9357
10/15/2012,82.5923
10/16/2012,84.5483
10/17/2012,83.8744
10/18/2012,82.3164
10/19/2012,79.3498
10/20/2012,79.3498
10/21/2012,79.3498
10/22/2012,82.4973
10/23/2012,79.8072
10/24/2012,80.2593
10/25/2012,79.3105
10/26/2012,78.5899
10/27/2012,78.5899
10/28/2012,78.5899
10/29/2012,78.5899
10/30/2012,78.5899
10/31/2012,77.4605
11/1/2012,77.6193
11/2/2012,75.0508
11/3/2012,75.0508
11/4/2012,75.0508
11/5/2012,76.0684
11/6/2012,75.8379
11/7/2012,72.9365
11/8/2012,70.2893
11/9/2012,71.5062
11/10/2012,71.5062
11/11/2012,71.5062
11/12/2012,70.9533
11/13/2012,70.9622
11/14/2012,70.1756
11/15/2012,68.7038
11/16/2012,68.9728
11/17/2012,68.9728
11/18/2012,68.9728
11/19/2012,73.9466
11/20/2012,73.317
11/21/2012,73.4198
11/22/2012,73.4198
11/23/2012,74.7008
11/24/2012,74.7008
11/25/2012,74.7008
11/26/2012,77.0575
11/27/2012,76.4366
11/28/2012,76.1961
11/29/2012,77.0353
11/30/2012,76.502
12/1/2012,76.502
12/2/2012,76.502
12/3/2012,76.6209
12/4/2012,75.2688
12/5/2012,70.4256
12/6/2012,71.5304
12/7/2012,69.7011
12/8/2012,69.7011
12/9/2012,69.7011
12/10/2012,69.2529
12/11/2012,70.7649
12/12/2012,70.4527
12/13/2012,69.2358
12/14/2012,66.6352
12/15/2012,66.6352
12/16/2012,66.6352
12/17/2012,67.8163
12/18/2012,69.7861
12/19/2012,68.794
12/20/2012,68.1954
12/21/2012,67.8817
12/22/2012,67.8817
12/23/2012,67.8817
12/24/2012,67.9912
12/25/2012,67.9912
12/26/2012,67.0542
12/27/2012,67.3235
12/28/2012,66.6084
12/29/2012,66.6084
12/30/2012,66.6084
12/31/2012,69.5604
1/1/2013,69.5604
1/2/2013,71.7637
1/3/2013,70.8574
1/4/2013,68.8842
1/5/2013,68.8842
1/6/2013,68.8842
1/7/2013,68.479
1/8/2013,68.6633
1/9/2013,67.5902
1/10/2013,68.428
1/11/2013,68.0084
1/12/2013,68.0084
1/13/2013,68.0084
1/14/2013,65.5838
1/15/2013,63.5146
1/16/2013,66.1511
1/17/2013,65.7053
1/18/2013,65.355
1/19/2013,65.355
1/20/2013,65.355
1/21/2013,65.355
1/22/2013,65.9785
